month,borough,day_type,trip_type,route_id,period,number_of_trips_passing_wait,number_of_scheduled_trips,wait_assessment
2024-04-01,Bronx,2,LCL/LTD,BX19,Peak,1474,2013,0.73224044
2024-05-01,Bronx,1,LCL/LTD,BX19,Off-Peak,11081,15861,0.6986319
2024-05-01,Bronx,1,LCL/LTD,BX19,Peak,4399,7647,0.57525826
2024-05-01,Bronx,2,LCL/LTD,BX19,Off-Peak,3955,5478,0.72197884
2024-05-01,Bronx,2,LCL/LTD,BX19,Peak,1512,2126,0.71119475
2024-06-01,Bronx,1,LCL/LTD,BX19,Off-Peak,10160,14789,0.6869971
2024-06-01,Bronx,1,LCL/LTD,BX19,Peak,4358,7048,0.61833143
2024-06-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4201,6494,0.6469048
2024-06-01,Bronx,2,LCL/LTD,BX19,Peak,1538,2441,0.6300697
2024-07-01,Bronx,1,LCL/LTD,BX19,Off-Peak,10958,16167,0.6778005
2024-07-01,Bronx,1,LCL/LTD,BX19,Peak,4677,7678,0.609143
2024-07-01,Bronx,2,LCL/LTD,BX19,Off-Peak,3811,5889,0.6471387
2024-07-01,Bronx,2,LCL/LTD,BX19,Peak,1476,2229,0.66218036
2024-08-01,Bronx,1,LCL/LTD,BX19,Off-Peak,10893,16093,0.67687815
2024-08-01,Bronx,1,LCL/LTD,BX19,Peak,4656,7659,0.60791224
2024-08-01,Bronx,2,LCL/LTD,BX19,Off-Peak,3651,5621,0.64952856
2024-08-01,Bronx,2,LCL/LTD,BX19,Peak,1440,2217,0.64952636
2024-09-01,Bronx,1,LCL/LTD,BX19,Off-Peak,10260,14162,0.72447395
2024-09-01,Bronx,1,LCL/LTD,BX19,Peak,4417,6862,0.6436899
2024-09-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4385,6166,0.711158
2024-09-01,Bronx,2,LCL/LTD,BX19,Peak,1706,2404,0.7096506
2024-10-01,Bronx,1,LCL/LTD,BX19,Off-Peak,11784,16370,0.7198534
2024-10-01,Bronx,1,LCL/LTD,BX19,Peak,4935,7845,0.62906307
2024-10-01,Bronx,2,LCL/LTD,BX19,Off-Peak,3668,5032,0.7289348
2024-10-01,Bronx,2,LCL/LTD,BX19,Peak,1473,1983,0.74281394
2024-11-01,Bronx,1,LCL/LTD,BX19,Off-Peak,9783,13352,0.7326992
2024-11-01,Bronx,1,LCL/LTD,BX19,Peak,4047,6394,0.63293713
2024-11-01,Bronx,2,LCL/LTD,BX19,Off-Peak,5135,6991,0.7345158
2024-11-01,Bronx,2,LCL/LTD,BX19,Peak,2068,2794,0.7401575
2024-12-01,Bronx,1,LCL/LTD,BX19,Off-Peak,10102,14014,0.7208506
2024-12-01,Bronx,1,LCL/LTD,BX19,Peak,4194,6739,0.62234753
2024-12-01,Bronx,2,LCL/LTD,BX19,Off-Peak,4444,5921,0.7505489
2024-12-01,Bronx,2,LCL/LTD,BX19,Peak,1770,2368,0.7474662
