month,borough,day_type,trip_type,route_id,period,total_mileage,total_operating_time,average_speed
2022-03-01,Bronx,2,LCL/LTD,BX19,Off-Peak,7993.988,1250,6.3941674
2022-03-01,Bronx,2,LCL/LTD,BX19,Peak,3056.846,495,6.174251
2022-04-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23601.654,4103,5.751955
2022-04-01,Bronx,1,LCL/LTD,BX19,Peak,9007.477,1713,5.2555203
2022-04-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9239.693,1465,6.306002
2022-04-01,Bronx,2,LCL/LTD,BX19,Peak,3372.557,557,6.047116
2022-05-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23034.092,4075,5.6514387
2022-05-01,Bronx,1,LCL/LTD,BX19,Peak,8543.032,1663,5.134986
2022-05-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9604.319,1544,6.2202954
2022-05-01,Bronx,2,LCL/LTD,BX19,Peak,3720.987,618,6.0160956
2022-06-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23708.28,4165,5.6909213
2022-06-01,Bronx,1,LCL/LTD,BX19,Peak,9126.903,1731,5.2702255
2022-06-01,Bronx,2,LCL/LTD,BX19,Off-Peak,7357.965,1210,6.0802665
2022-06-01,Bronx,2,LCL/LTD,BX19,Peak,2674.629,451,5.9183173
2022-07-01,Bronx,1,LCL/LTD,BX19,Off-Peak,22060.305,3769,5.8516526
2022-07-01,Bronx,1,LCL/LTD,BX19,Peak,9302.987,1736,5.3588233
2022-07-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10939.249,1744,6.2712975
2022-07-01,Bronx,2,LCL/LTD,BX19,Peak,4257.485,702,6.0592885
2022-08-01,Bronx,1,LCL/LTD,BX19,Off-Peak,25337.111,4333,5.8462715
2022-08-01,Bronx,1,LCL/LTD,BX19,Peak,10760.514,1994,5.3953886
2022-08-01,Bronx,2,LCL/LTD,BX19,Off-Peak,7892.065,1252,6.3009257
2022-08-01,Bronx,2,LCL/LTD,BX19,Peak,2929.203,483,6.0527186
2022-09-01,Bronx,1,LCL/LTD,BX19,Off-Peak,21571.031,3811,5.658843
2022-09-01,Bronx,1,LCL/LTD,BX19,Peak,8698.737,1688,5.150811
2022-09-01,Bronx,2,LCL/LTD,BX19,Off-Peak,9006.964,1460,6.1685243
2022-09-01,Bronx,2,LCL/LTD,BX19,Peak,3433.16,576,5.9596314
2022-10-01,Bronx,1,LCL/LTD,BX19,Off-Peak,23871.693,4123,5.789874
2022-10-01,Bronx,1,LCL/LTD,BX19,Peak,9479.427,1835,5.165201
2022-10-01,Bronx,2,LCL/LTD,BX19,Off-Peak,10273.266,1625,6.319415
2022-10-01,Bronx,2,LCL/LTD,BX19,Peak,3869.365,640,6.041813
