month,borough,trip_type,route_id,period,number_of_customers,additional_bus_stop_time,additional_travel_time,customer_journey_time_performance
2024-06-01,Bronx,LCL/LTD,BX19,Off-Peak,446995.16,2.9604256,0.71811295,0.6460099
2024-06-01,Bronx,LCL/LTD,BX19,Peak,267399.4,2.6572113,-0.06262176,0.7055307
2024-07-01,Bronx,LCL/LTD,BX19,Off-Peak,502662.7,3.0268145,0.5375642,0.65285236
2024-07-01,Bronx,LCL/LTD,BX19,Peak,295004.56,2.6029077,-0.34818345,0.7216101
2024-08-01,Bronx,LCL/LTD,BX19,Off-Peak,478527.78,3.0782065,0.91476494,0.6303506
2024-08-01,Bronx,LCL/LTD,BX19,Peak,282159.22,2.7028759,0.2927358,0.6829384
2024-09-01,Bronx,LCL/LTD,BX19,Off-Peak,448156.78,2.3999355,0.6018985,0.6687928
2024-09-01,Bronx,LCL/LTD,BX19,Peak,265868.44,2.5524364,0.22925502,0.68806344
2024-10-01,Bronx,LCL/LTD,BX19,Off-Peak,521644.5,2.466549,0.33634213,0.68068314
2024-10-01,Bronx,LCL/LTD,BX19,Peak,294274.2,3.0265036,0.11234627,0.6901099
2024-11-01,Bronx,LCL/LTD,BX19,Off-Peak,470647.66,2.5008433,0.43002024,0.6785254
2024-11-01,Bronx,LCL/LTD,BX19,Peak,264552.2,2.7732606,0.109716006,0.6877888
2024-12-01,Bronx,LCL/LTD,BX19,Off-Peak,495189.66,2.268179,0.048406556,0.6987963
2024-12-01,Bronx,LCL/LTD,BX19,Peak,306967.94,2.7404914,-0.35782054,0.71093756
